 1.06881701e+02 8.91764400e-04
 1.14646534e+02 9.86770600e-04
 1.22975474e+02 5.20926000e-05
 1.31909502e+02 1.68961060e-03
 1.50000000e+01 7.96920000e-06
 1.41492577e+02 8.87486600e-04
 1.51771851e+02 4.82296100e-04
 1.60897329e+01 6.10800000e-07
 1.62797903e+02 3.34368210e-03
 1.72586336e+01 4.45584000e-05
 1.74624985e+02 1.24753360e-03
 1.85124536e+01 2.62800000e-06
 1.87311290e+02 8.26515300e-04
 1.98573623e+01 1.41847000e-05
 2.00919242e+02 3.85248350e-03
 2.12999770e+01 1.08840000e-05
 2.15515795e+02 2.04710990e-03
 2.28473960e+01 6.67820000e-05
 2.31172772e+02 1.63189590e-03
 2.45072332e+01 5.45300000e-05
 2.47967210e+02 9.16591300e-04
 2.62876557e+01 4.70305000e-05
 2.65981745e+02 4.76787000e-05
 2.81974239e+01 2.39820000e-06
 2.85305015e+02 3.96022070e-03
 3.02459346e+01 6.39652000e-05
 3.06032098e+02 7.95798300e-04
 3.24432672e+01 7.61135000e-05
 3.28264981e+02 1.20344770e-02
 3.48002335e+01 6.11856000e-05
 3.52113057e+02 8.54477540e-03
 3.73284307e+01 6.65566000e-05
 3.77693669e+02 1.69918904e-02
 4.00402986e+01 2.17426000e-05
 4.05132683e+02 1.34608043e-02
 4.29491806e+01 1.74101000e-05
 4.34565109e+02 2.91900870e-03
 4.60693895e+01 8.16151000e-05
 4.66135769e+02 1.55477574e-02
 4.94162781e+01 2.20548000e-05
 5.00000000e+02 4.45853570e-03
 5.30063143e+01 5.50809000e-05
 5.68571625e+01 2.89747100e-04
 6.09877705e+01 2.43434800e-04
 6.54184624e+01 1.10316800e-04
 7.01710390e+01 3.34375700e-04
 7.52688849e+01 3.50269800e-04
 8.07370834e+01 2.41320800e-04
 8.66025404e+01 2.73800600e-04
 9.28941161e+01 1.11522530e-03
 9.96427676e+01 5.91766900e-04

