 1.00000000e+17 1.45911000e+01
 1.20226443e+17 1.45289000e+01
 1.44543977e+17 1.44778000e+01
 1.73780083e+17 1.44956000e+01
 2.08929613e+17 1.44756000e+01
 2.51188643e+17 1.45022000e+01
 3.01995172e+17 1.44311000e+01
 3.63078055e+17 1.45400000e+01
 4.36515832e+17 1.44978000e+01
 5.24807460e+17 1.45378000e+01
 6.30957344e+17 1.45067000e+01
 7.58577575e+17 1.45378000e+01
 9.12010839e+17 1.44911000e+01
 1.09647820e+18 1.45444000e+01
 1.31825674e+18 1.44844000e+01
 1.58489319e+18 1.45533000e+01
 1.90546072e+18 1.45022000e+01
 2.29086765e+18 1.45556000e+01
 2.75422870e+18 1.44844000e+01
 3.31131121e+18 1.45489000e+01
 3.98107171e+18 1.44400000e+01
 4.78630092e+18 1.44867000e+01
 5.75439937e+18 1.44800000e+01
 6.91830971e+18 1.45578000e+01
 8.31763771e+18 1.45733000e+01
 1.00000000e+19 1.44511000e+01
 1.20226443e+19 1.45378000e+01
 1.44543977e+19 1.45689000e+01
 1.73780083e+19 1.44911000e+01
 2.08929613e+19 1.45244000e+01
 2.51188643e+19 1.45044000e+01
 3.01995172e+19 1.45333000e+01
 3.63078055e+19 1.45867000e+01
 4.36515832e+19 1.45978000e+01
 5.24807460e+19 1.45778000e+01
 6.30957344e+19 1.46111000e+01
 7.58577575e+19 1.46311000e+01
 9.12010839e+19 1.46422000e+01
 1.09647820e+20 1.46844000e+01
 1.31825674e+20 1.46111000e+01
 1.58489319e+20 1.46978000e+01
 1.90546072e+20 1.47556000e+01
 2.29086765e+20 1.47622000e+01
 2.75422870e+20 1.49756000e+01
 3.31131121e+20 1.51156000e+01
 3.98107171e+20 1.51000000e+01
 4.78630092e+20 1.52600000e+01
 5.75439937e+20 1.54289000e+01
 6.91830971e+20 1.55600000e+01
 8.31763771e+20 1.57911000e+01
 1.00000000e+21 1.60000000e+01

